"(PDH-CSV 4.0) (SA Eastern Standard Time)(180)","\\srvappeadl365\processor(_total)\% processor time","\\srvappeadl365\logicaldisk(_total)\disk reads/sec","\\srvappeadl365\logicaldisk(_total)\disk writes/sec","\\srvappeadl365\sqlserver:databases(eadl365db)\log bytes flushed/sec"
"11/21/2017 12:23:56.518"," "," "," "," "
"11/21/2017 12:23:57.599","0.21156767407359833","2.7767832779889572","5.5535665559779144","0"
"11/21/2017 12:23:58.626","2.6275848846463057","0","3.8951511016753235","0"
"11/21/2017 12:23:59.688","44.116368967309086","0","10.263203588090615","0"
"11/21/2017 12:24:00.807","20.404031593332316","0.9012735084802177","2.7038205254406531","0"
"11/21/2017 12:24:01.825","15.570321190884117","0","1.9649974995406816","0"
"11/21/2017 12:24:02.845","0.45924246408471925","0","6.8586863695170184","0"
"11/21/2017 12:24:03.875","0","0","1.9433752911297648","0"
"11/21/2017 12:24:04.902","0","0","4.8666849524242615","0"
"11/21/2017 12:24:05.925","0.70982515446251782","0","1.9553147998168263","0"
"11/21/2017 12:24:06.936","0","0","4.9441572273640899","0"
"11/21/2017 12:24:07.959","2.2394880321092492","1.9552631872236848","8.798684342506581","0"
"11/21/2017 12:24:08.987","0","0","3.8933487198474745","0"
"11/21/2017 12:24:10.004","0.17032355774929675","0","1.9656726718622015","0"
"11/21/2017 12:24:11.005","0.12265936203748051","0","27.95631825273011","0"
"11/21/2017 12:24:12.023","0.17184449405149849","0","1.96664298172969","0"
"11/21/2017 12:24:13.050","0","0","5.8406632034129711","0"
"11/21/2017 12:24:14.078","0","0","1.9456178411599543","0"
"11/21/2017 12:24:15.105","0","0","1.9467979068028907","0"
"11/21/2017 12:24:16.128","0.6638515596887884","0","1.9562517551246215","0"
"11/21/2017 12:24:17.144","0.065217746390344722","0","1.9670520744580353","0"
"11/21/2017 12:24:18.168","0","0","2.9323867849448138","0"
"11/21/2017 12:24:19.195","1.1527355083219004","0","1.9469161626749694","0"
"11/21/2017 12:24:20.222","0","0","1.946655222929496","0"
"11/21/2017 12:24:21.250","0","0","4.8642097478374211","0"
"11/21/2017 12:24:22.278","0","0","1.9466779599944055","0"
"11/21/2017 12:24:23.295","0.17077493722984505","0","4.9125048498704125","0"
"11/21/2017 12:24:24.323","1.1551020853073912","0","3.8943399371278291","0"
"11/21/2017 12:24:25.361","0","0","2.89064265249224","0"
"11/21/2017 12:24:26.399","0.69783542947162713","0","1.9259486235871122","0"
"11/21/2017 12:24:27.442","0","0","17.170260879220379","0"
